country_region,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
United Arab Emirates,2020-07-06,-27,-6,-45,-46,-23,15
United Arab Emirates,2020-07-07,-27,-5,-45,-45,-24,15
United Arab Emirates,2020-07-08,-29,-8,-46,-47,-23,15
United Arab Emirates,2020-07-09,-29,-7,-48,-46,-24,16
United Arab Emirates,2020-07-10,-35,-14,-58,-54,-15,12
United Arab Emirates,2020-07-11,-28,-8,-50,-49,-11,11
United Arab Emirates,2020-07-12,-24,-4,-44,-45,-23,14
United Arab Emirates,2020-07-13,-26,-7,-45,-45,-23,14
United Arab Emirates,2020-07-14,-27,-7,-45,-46,-24,14
United Arab Emirates,2020-07-15,-26,-7,-43,-46,-23,14
United Arab Emirates,2020-07-16,-28,-6,-46,-46,-22,15
United Arab Emirates,2020-07-17,-34,-14,-56,-54,-15,12
United Arab Emirates,2020-07-18,-28,-9,-48,-49,-11,11
United Arab Emirates,2020-07-19,-23,-4,-42,-45,-22,13
United Arab Emirates,2020-07-20,-25,-7,-42,-45,-22,13
United Arab Emirates,2020-07-21,-27,-9,-44,-46,-23,13
United Arab Emirates,2020-07-22,-27,-9,-44,-45,-22,13
United Arab Emirates,2020-07-23,-27,-7,-45,-45,-22,14
United Arab Emirates,2020-07-24,-33,-15,-55,-52,-13,12
United Arab Emirates,2020-07-25,-25,-8,-46,-46,-11,10
United Arab Emirates,2020-07-26,-21,-3,-41,-43,-22,12
United Arab Emirates,2020-07-27,-21,-3,-41,-43,-22,12
United Arab Emirates,2020-07-28,-19,0,-42,-43,-22,11
United Arab Emirates,2020-07-29,-12,11,-39,-39,-22,9
United Arab Emirates,2020-07-30,-21,13,-46,-51,-58,26
United Arab Emirates,2020-07-31,-31,-15,-46,-47,-22,9
United Arab Emirates,2020-08-01,-22,-6,-29,-49,-53,17
United Arab Emirates,2020-08-02,-15,5,-34,-53,-59,22
United Arab Emirates,2020-08-03,-22,-4,-41,-43,-23,12
United Arab Emirates,2020-08-04,-22,-4,-42,-42,-23,12
United Arab Emirates,2020-08-05,-22,-4,-42,-41,-22,12
United Arab Emirates,2020-08-06,-24,-6,-45,-42,-22,13
United Arab Emirates,2020-08-07,-33,-15,-57,-51,-14,11
United Arab Emirates,2020-08-08,-24,-7,-45,-44,-12,9
United Arab Emirates,2020-08-09,-18,-1,-38,-41,-21,11
United Arab Emirates,2020-08-10,-21,-5,-39,-40,-22,11
United Arab Emirates,2020-08-11,-23,-6,-41,-43,-22,11
United Arab Emirates,2020-08-12,-22,-6,-41,-43,-22,11
United Arab Emirates,2020-08-13,-23,-5,-42,-42,-22,12
United Arab Emirates,2020-08-14,-30,-12,-53,-49,-14,10
United Arab Emirates,2020-08-15,-24,-7,-45,-43,-12,8
United Arab Emirates,2020-08-16,-19,-3,-39,-42,-22,10
United Arab Emirates,2020-08-17,-22,-6,-40,-42,-22,11
United Arab Emirates,2020-08-18,-23,-7,-42,-42,-21,11
United Arab Emirates,2020-08-19,-23,-7,-42,-42,-21,11
United Arab Emirates,2020-08-20,-26,-9,-45,-43,-22,12
United Arab Emirates,2020-08-21,-33,-16,-56,-50,-14,10
United Arab Emirates,2020-08-22,-23,-9,-43,-44,-15,8
United Arab Emirates,2020-08-23,-19,1,-37,-53,-58,22
United Arab Emirates,2020-08-24,-25,-10,-42,-42,-20,10
United Arab Emirates,2020-08-25,-24,-8,-41,-41,-21,10
United Arab Emirates,2020-08-26,-23,-7,-41,-41,-20,10
United Arab Emirates,2020-08-27,-22,-5,-42,-41,-20,11
United Arab Emirates,2020-08-28,-30,-11,-55,-47,-13,10
United Arab Emirates,2020-08-29,-23,-5,-46,-42,-11,8
United Arab Emirates,2020-08-30,-18,2,-38,-40,-21,9
United Arab Emirates,2020-08-31,-21,-3,-40,-41,-22,10
United Arab Emirates,2020-09-01,-22,-3,-40,-40,-21,10
United Arab Emirates,2020-09-02,-22,-4,-40,-41,-21,10
United Arab Emirates,2020-09-03,-22,-3,-40,-41,-21,10
United Arab Emirates,2020-09-04,-27,-8,-50,-45,-15,9
United Arab Emirates,2020-09-05,-21,-3,-42,-42,-13,7
United Arab Emirates,2020-09-06,-18,1,-35,-39,-21,9
United Arab Emirates,2020-09-07,-21,-3,-38,-40,-21,10
United Arab Emirates,2020-09-08,-21,-3,-38,-40,-22,10
United Arab Emirates,2020-09-09,-23,-5,-39,-41,-21,9
United Arab Emirates,2020-09-10,-21,-3,-38,-38,-21,10
United Arab Emirates,2020-09-11,-27,-8,-48,-45,-16,9
United Arab Emirates,2020-09-12,-22,-3,-39,-42,-13,7
United Arab Emirates,2020-09-13,-19,0,-32,-39,-20,9
United Arab Emirates,2020-09-14,-22,-4,-36,-40,-19,10
United Arab Emirates,2020-09-15,-22,-4,-36,-40,-19,10
United Arab Emirates,2020-09-16,-22,-5,-36,-40,-20,10
United Arab Emirates,2020-09-17,-23,-5,-38,-41,-21,11
United Arab Emirates,2020-09-18,-28,-11,-47,-46,-15,10
United Arab Emirates,2020-09-19,-23,-7,-40,-43,-13,8
United Arab Emirates,2020-09-20,-21,-4,-35,-40,-19,10
United Arab Emirates,2020-09-21,-24,-7,-38,-41,-21,10
United Arab Emirates,2020-09-22,-26,-8,-41,-42,-20,10
United Arab Emirates,2020-09-23,-27,-9,-44,-43,-20,11
United Arab Emirates,2020-09-24,-26,-8,-43,-43,-20,12
United Arab Emirates,2020-09-25,-31,-12,-49,-47,-15,10
United Arab Emirates,2020-09-26,-26,-7,-45,-43,-12,8
United Arab Emirates,2020-09-27,-22,-3,-41,-40,-19,10
United Arab Emirates,2020-09-28,-25,-7,-44,-41,-19,11
United Arab Emirates,2020-09-29,-24,-5,-42,-40,-19,10
United Arab Emirates,2020-09-30,-23,-2,-41,-38,-20,9
United Arab Emirates,2020-10-01,-22,0,-38,-38,-20,9
United Arab Emirates,2020-10-02,-26,-5,-44,-40,-16,8
United Arab Emirates,2020-10-03,-22,-1,-40,-38,-14,6
United Arab Emirates,2020-10-04,-20,1,-34,-35,-20,8
United Arab Emirates,2020-10-05,-23,-3,-38,-38,-21,9
United Arab Emirates,2020-10-06,-23,-3,-38,-38,-21,8
United Arab Emirates,2020-10-07,-24,-3,-38,-38,-20,9
United Arab Emirates,2020-10-08,-23,-2,-36,-37,-19,10
United Arab Emirates,2020-10-09,-27,-7,-41,-42,-15,8
United Arab Emirates,2020-10-10,-24,-5,-37,-39,-12,8
United Arab Emirates,2020-10-11,-21,0,-32,-37,-18,10
United Arab Emirates,2020-10-12,-24,-4,-34,-38,-19,10
United Arab Emirates,2020-10-13,-24,-3,-34,-38,-19,10
United Arab Emirates,2020-10-14,-23,-3,-36,-37,-19,10
United Arab Emirates,2020-10-15,-22,-1,-34,-35,-19,10
United Arab Emirates,2020-10-16,-26,-5,-36,-40,-15,9
United Arab Emirates,2020-10-17,-23,-4,-36,-38,-12,8
United Arab Emirates,2020-10-18,-20,-1,-32,-36,-20,10
United Arab Emirates,2020-10-19,-23,-4,-35,-36,-20,10
United Arab Emirates,2020-10-20,-23,-5,-33,-37,-20,10
United Arab Emirates,2020-10-21,-22,-3,-31,-37,-20,10
United Arab Emirates,2020-10-22,-21,-1,-25,-35,-19,10
United Arab Emirates,2020-10-23,-26,-5,-28,-40,-14,8
United Arab Emirates,2020-10-24,-23,-4,-29,-38,-11,7
United Arab Emirates,2020-10-25,-18,1,-25,-35,-18,9
United Arab Emirates,2020-10-26,-20,-1,-28,-35,-18,9
United Arab Emirates,2020-10-27,-19,0,-28,-35,-19,9
United Arab Emirates,2020-10-28,-13,7,-24,-32,-18,6
United Arab Emirates,2020-10-29,-15,8,-4,-45,-59,20
United Arab Emirates,2020-10-30,-24,-7,-24,-40,-16,6
United Arab Emirates,2020-10-31,-22,-4,-30,-39,-12,6
United Arab Emirates,2020-11-01,-17,3,-27,-35,-18,8
United Arab Emirates,2020-11-02,-19,0,-31,-36,-19,9
United Arab Emirates,2020-11-03,-19,0,-30,-36,-19,9
United Arab Emirates,2020-11-04,-20,-1,-31,-36,-19,9
United Arab Emirates,2020-11-05,-20,0,-29,-35,-19,9
United Arab Emirates,2020-11-06,-23,-4,-28,-38,-15,7
United Arab Emirates,2020-11-07,-20,-3,-30,-38,-12,7
United Arab Emirates,2020-11-08,-18,0,-28,-35,-18,9
United Arab Emirates,2020-11-09,-20,-2,-32,-36,-19,9
United Arab Emirates,2020-11-10,-20,-2,-32,-36,-19,9
United Arab Emirates,2020-11-11,-19,0,-31,-35,-19,9
United Arab Emirates,2020-11-12,-18,1,-28,-34,-19,9
United Arab Emirates,2020-11-13,-21,0,-26,-37,-13,6
United Arab Emirates,2020-11-14,-18,-1,-28,-37,-13,7
United Arab Emirates,2020-11-15,-17,1,-25,-34,-19,9
United Arab Emirates,2020-11-16,-20,-4,-29,-35,-19,9
United Arab Emirates,2020-11-17,-21,-4,-29,-36,-19,9
United Arab Emirates,2020-11-18,-21,-3,-31,-36,-18,9
United Arab Emirates,2020-11-19,-20,-2,-29,-36,-18,9
United Arab Emirates,2020-11-20,-23,-6,-29,-39,-13,7
United Arab Emirates,2020-11-21,-21,-5,-32,-38,-11,7
United Arab Emirates,2020-11-22,-18,-2,-29,-35,-18,9
United Arab Emirates,2020-11-23,-21,-6,-32,-37,-18,9
United Arab Emirates,2020-11-24,-21,-5,-32,-37,-19,9
United Arab Emirates,2020-11-25,-20,-3,-33,-35,-18,9
United Arab Emirates,2020-11-26,-18,0,-30,-33,-18,9
United Arab Emirates,2020-11-27,-20,-3,-30,-35,-11,6
United Arab Emirates,2020-11-28,-17,-1,-32,-35,-10,6
United Arab Emirates,2020-11-29,-13,4,-27,-32,-18,8
Argentina,2020-02-15,1,-3,-3,4,-1,0
Argentina,2020-02-16,-6,-6,-14,-2,-4,2
Argentina,2020-02-17,-10,-8,-23,-2,7,1
Argentina,2020-02-18,3,3,-2,9,9,-1
Argentina,2020-02-19,1,0,10,8,11,-2
Argentina,2020-02-20,0,0,-8,7,9,-1
Argentina,2020-02-21,3,4,-9,9,9,-1
Argentina,2020-02-22,6,5,4,7,-1,0
Argentina,2020-02-23,14,8,18,5,-2,0
Argentina,2020-02-24,-10,-16,26,-27,-54,6
Argentina,2020-02-25,-20,-17,1,-28,-50,7
Argentina,2020-02-26,1,2,5,9,13,-2
Argentina,2020-02-27,-1,0,-5,8,12,0
Argentina,2020-02-28,3,2,-8,8,13,-1
Argentina,2020-02-29,5,5,-8,6,2,1
Argentina,2020-03-01,-3,3,-11,1,-2,2
Argentina,2020-03-02,1,4,-8,7,16,-1
Argentina,2020-03-03,0,5,-6,8,16,-1
Argentina,2020-03-04,-1,3,-1,8,18,-2
Argentina,2020-03-05,1,4,-9,10,18,-1
Argentina,2020-03-06,6,8,-7,12,18,-2
Argentina,2020-03-07,5,7,-10,8,3,1
Argentina,2020-03-08,3,4,-12,3,-2,2
Argentina,2020-03-09,1,5,-9,13,15,-1
Argentina,2020-03-10,3,8,-9,14,18,-2
Argentina,2020-03-11,-16,-7,-24,-6,15,0
Argentina,2020-03-12,-4,8,-16,10,18,-1
Argentina,2020-03-13,-5,10,-17,7,18,-1
Argentina,2020-03-14,-19,5,-40,-19,-4,7
Argentina,2020-03-15,-29,17,-44,-17,-10,9
Argentina,2020-03-16,-27,8,-39,-17,1,6
Argentina,2020-03-17,-41,-11,-54,-32,-12,11
Argentina,2020-03-18,-43,-11,-49,-35,-19,12
Argentina,2020-03-19,-42,5,-55,-35,-24,13
Argentina,2020-03-20,-78,-40,-80,-72,-61,29
Argentina,2020-03-21,-83,-49,-85,-75,-57,28
Argentina,2020-03-22,-87,-61,-90,-81,-58,27
Argentina,2020-03-23,-88,-64,-88,-85,-79,32
Argentina,2020-03-24,-88,-64,-88,-85,-79,31
Argentina,2020-03-25,-82,-50,-82,-77,-68,28
Argentina,2020-03-26,-83,-52,-84,-77,-68,30
Argentina,2020-03-27,-81,-49,-82,-75,-67,32
Argentina,2020-03-28,-82,-48,-84,-75,-59,29
Argentina,2020-03-29,-86,-61,-89,-80,-57,27
Argentina,2020-03-30,-81,-51,-83,-77,-68,28
Argentina,2020-03-31,-85,-59,-85,-82,-76,30
Argentina,2020-04-01,-79,-46,-79,-75,-64,27
Argentina,2020-04-02,-79,-47,-81,-74,-64,29
Argentina,2020-04-03,-77,-41,-78,-71,-62,31
Argentina,2020-04-04,-77,-41,-81,-71,-54,27
Argentina,2020-04-05,-83,-54,-87,-76,-52,26
Argentina,2020-04-06,-75,-41,-77,-70,-60,26
Argentina,2020-04-07,-82,-30,-72,-64,-59,25
Argentina,2020-04-08,-82,-28,-69,-63,-58,24
Argentina,2020-04-09,-83,-30,-75,-67,-63,27
Argentina,2020-04-10,-90,-58,-85,-79,-76,35
Argentina,2020-04-11,-84,-34,-80,-67,-52,27
Argentina,2020-04-12,-87,-51,-86,-74,-49,25
Argentina,2020-04-13,-83,-40,-74,-67,-55,25
Argentina,2020-04-14,-81,-31,-70,-63,-54,24
Argentina,2020-04-15,-81,-31,-70,-62,-53,24
Argentina,2020-04-16,-83,-31,-92,-61,-53,26
Argentina,2020-04-17,-83,-29,-92,-61,-52,28
Argentina,2020-04-18,-85,-36,-94,-65,-45,26
Argentina,2020-04-19,-89,-53,-95,-73,-48,25
Argentina,2020-04-20,-83,-37,-92,-62,-49,24
Argentina,2020-04-21,-82,-34,-92,-61,-50,23
Argentina,2020-04-22,-83,-34,-91,-61,-49,23
Argentina,2020-04-23,-83,-35,-92,-62,-49,24
Argentina,2020-04-24,-83,-34,-92,-63,-48,27
Argentina,2020-04-25,-86,-39,-94,-68,-44,26
Argentina,2020-04-26,-88,-52,-95,-72,-47,25
Argentina,2020-04-27,-84,-40,-93,-64,-47,24
Argentina,2020-04-28,-84,-41,-92,-68,-49,20
Argentina,2020-04-29,-80,-27,-90,-57,-44,21
Argentina,2020-04-30,-75,-20,-90,-56,-44,22
Argentina,2020-05-01,-90,-71,-94,-78,-73,33
Argentina,2020-05-02,-79,-26,-93,-60,-39,24
Argentina,2020-05-03,-86,-48,-95,-71,-42,24
Argentina,2020-05-04,-77,-32,-91,-61,-42,21
Argentina,2020-05-05,-76,-28,-90,-58,-43,21
Argentina,2020-05-06,-75,-25,-89,-55,-40,20
Argentina,2020-05-07,-73,-23,-89,-55,-40,21
Argentina,2020-05-08,-72,-18,-89,-53,-38,23
Argentina,2020-05-09,-75,-20,-91,-53,-31,21
Argentina,2020-05-10,-82,-41,-93,-65,-35,21
Argentina,2020-05-11,-71,-24,-88,-53,-36,19
Argentina,2020-05-12,-70,-21,-88,-51,-36,19
Argentina,2020-05-13,-70,-22,-87,-52,-35,19
Argentina,2020-05-14,-70,-23,-88,-53,-35,18
Argentina,2020-05-15,-70,-18,-88,-52,-34,22
Argentina,2020-05-16,-72,-19,-89,-51,-27,20
Argentina,2020-05-17,-80,-40,-91,-63,-30,20
Argentina,2020-05-18,-69,-24,-88,-53,-32,18
Argentina,2020-05-19,-68,-22,-87,-52,-33,18
Argentina,2020-05-20,-69,-24,-86,-54,-33,18
Argentina,2020-05-21,-71,-27,-88,-57,-35,21
Argentina,2020-05-22,-70,-22,-88,-55,-33,22
Argentina,2020-05-23,-70,-16,-89,-51,-24,20
Argentina,2020-05-24,-79,-35,-90,-62,-29,20
Argentina,2020-05-25,-83,-53,-90,-73,-65,25
Argentina,2020-05-26,-67,-22,-86,-53,-30,17
Argentina,2020-05-27,-68,-22,-84,-54,-30,18
Argentina,2020-05-28,-68,-23,-86,-53,-30,19
Argentina,2020-05-29,-67,-18,-86,-52,-29,21
Argentina,2020-05-30,-71,-19,-89,-54,-22,20
Argentina,2020-05-31,-79,-39,-90,-65,-27,20
Argentina,2020-06-01,-67,-24,-87,-54,-29,18
Argentina,2020-06-02,-66,-20,-85,-52,-29,17
Argentina,2020-06-03,-67,-21,-85,-53,-28,17
Argentina,2020-06-04,-67,-21,-86,-53,-29,18
Argentina,2020-06-05,-65,-16,-85,-52,-28,20
Argentina,2020-06-06,-66,-12,-86,-50,-19,18
Argentina,2020-06-07,-75,-33,-88,-61,-22,18
Argentina,2020-06-08,-62,-17,-84,-51,-26,17
Argentina,2020-06-09,-61,-16,-83,-49,-26,16
Argentina,2020-06-10,-60,-14,-80,-49,-25,16
Argentina,2020-06-11,-60,-15,-82,-48,-26,17
Argentina,2020-06-12,-59,-11,-82,-48,-24,18
Argentina,2020-06-13,-61,-10,-85,-47,-16,17
Argentina,2020-06-14,-71,-29,-85,-59,-18,17
Argentina,2020-06-15,-75,-40,-85,-68,-58,23
Argentina,2020-06-16,-56,-11,-81,-46,-24,15
Argentina,2020-06-17,-60,-16,-81,-49,-26,16
Argentina,2020-06-18,-60,-17,-83,-51,-26,17
Argentina,2020-06-19,-56,-7,-82,-49,-24,17
Argentina,2020-06-20,-59,-4,-83,-45,-23,17
Argentina,2020-06-21,-71,-33,-86,-58,-5,15
Argentina,2020-06-22,-62,-25,-84,-55,-28,17
Argentina,2020-06-23,-61,-21,-83,-54,-28,17
Argentina,2020-06-24,-62,-21,-83,-53,-27,17
Argentina,2020-06-25,-62,-20,-84,-52,-27,18
Argentina,2020-06-26,-60,-14,-84,-51,-25,19
Argentina,2020-06-27,-61,-12,-84,-47,-17,18
Argentina,2020-06-28,-72,-33,-86,-61,-20,19
Argentina,2020-06-29,-59,-21,-84,-52,-27,17
Argentina,2020-06-30,-60,-23,-84,-55,-29,17
Argentina,2020-07-01,-62,-20,-82,-59,-29,17
Argentina,2020-07-02,-61,-19,-83,-58,-29,18
Argentina,2020-07-03,-59,-13,-82,-56,-27,19
Argentina,2020-07-04,-60,-12,-83,-54,-18,18
Argentina,2020-07-05,-70,-31,-83,-62,-20,18
Argentina,2020-07-06,-59,-19,-83,-56,-28,17
Argentina,2020-07-07,-58,-16,-83,-54,-29,17
Argentina,2020-07-08,-53,-6,-78,-50,-26,15
Argentina,2020-07-09,-72,-37,-83,-67,-57,23
Argentina,2020-07-10,-65,-23,-84,-65,-50,24
Argentina,2020-07-11,-59,-12,-82,-52,-19,18
Argentina,2020-07-12,-70,-34,-83,-62,-20,18
Argentina,2020-07-13,-56,-16,-81,-54,-27,16
Argentina,2020-07-14,-55,-15,-79,-53,-28,16
Argentina,2020-07-15,-56,-14,-77,-53,-26,16
Argentina,2020-07-16,-57,-18,-79,-55,-28,17
Argentina,2020-07-17,-54,-9,-79,-51,-25,18
Argentina,2020-07-18,-56,-10,-79,-51,-16,16
Argentina,2020-07-19,-65,-27,-80,-57,-16,16
Argentina,2020-07-20,-51,-14,-79,-49,-24,14
